Bytes,TransferTime,Bandwidth
8,4.3335e-08,9.23041e+07
16,4.323e-08,1.85057e+08
32,3.782e-08,4.23057e+08
64,3.787e-08,8.44996e+08
128,4.804e-08,1.33222e+09
256,5.0195e-08,2.55005e+09
512,5.6155e-08,4.55881e+09
1024,6.5775e-08,7.78411e+09
2048,8.461e-08,1.21026e+10
4096,1.23335e-07,1.66052e+10
8192,3.02925e-07,1.35215e+10
16384,4.8857e-07,1.67673e+10
