Bytes,TransferTime,Bandwidth
2,4.23711e-06,0
4,2.6951e-07,7.42087
8,2.67905e-07,14.9307
16,3.0087e-07,26.5896
32,4.08825e-07,39.1365
64,3.66295e-07,87.3613
128,8.8563e-07,72.2649
256,6.25285e-07,204.707
512,7.25675e-07,352.775
1024,8.4084e-07,608.915
2048,1.26219e-06,811.288
4096,1.79514e-06,1140.85
