Bytes,TransferTime,Bandwidth
16,7.01374e-07,1.14062e+07
32,8.79965e-07,1.81825e+07
64,8.90587e-07,3.59314e+07
128,1.80131e-06,3.55297e+07
256,1.42565e-06,8.97839e+07
512,1.68934e-06,1.51538e+08
1024,1.9299e-06,2.65299e+08
2048,2.63578e-06,3.88499e+08
4096,3.86636e-06,5.29697e+08
8192,5.04023e-06,8.12661e+08
16384,7.57998e-06,1.08074e+09
32768,1.0097e-05,1.62265e+09
65536,1.50865e-05,2.17201e+09
131072,1.76137e-05,3.72074e+09
262144,2.93994e-05,4.45832e+09
524288,5.18382e-05,5.05696e+09
1048576,8.91388e-05,5.8817e+09
2097152,0.000162242,6.46305e+09
4194304,0.000304052,6.89734e+09
8388608,0.000621272,6.75115e+09
16777216,0.00122097,6.87044e+09
33554432,0.00238592,7.03176e+09
67108864,0.00503717,6.66137e+09
134217728,0.0102331,6.55803e+09
268435456,0.0218645,6.13861e+09
