Bytes,TransferTime,Bandwidth
16,1.17933e-06,6.78349e+06
32,1.01642e-06,1.57415e+07
64,1.29896e-07,2.46351e+08
128,4.90379e-07,1.30511e+08
256,4.41433e-07,2.89965e+08
512,2.90652e-07,8.80779e+08
1024,3.61782e-07,1.41522e+09
2048,5.64167e-07,1.81506e+09
4096,1.54512e-06,1.32546e+09
8192,5.92875e-07,6.9087e+09
16384,2.4049e-06,3.40637e+09
32768,3.64625e-06,4.49338e+09
65536,7.40427e-06,4.42556e+09
131072,9.03886e-06,7.25047e+09
262144,1.61224e-05,8.12982e+09
524288,3.7263e-05,7.03497e+09
1048576,7.42354e-05,7.06251e+09
2097152,0.000126303,8.30206e+09
4194304,0.000254689,8.23415e+09
8388608,0.000522132,8.03304e+09
16777216,0.0010574,7.93324e+09
33554432,0.00217569,7.71123e+09
67108864,0.00448716,7.47787e+09
134217728,0.00954332,7.03202e+09
268435456,0.0191744,6.99984e+09
